x,y
-180,35116.4674280495
-179.427042204869,35116.9044039205
-178.854084409738,35118.2153845697
-178.281126614608,35120.4005291091
-177.708168819477,35123.4601027347
-177.135211024346,35127.3944767403
-176.562253229215,35132.2041285377
-175.989295434084,35137.8896416815
-175.416337638954,35144.4517058995
-174.843379843823,35151.8911171295
-174.270422048692,35160.2087775602
-173.697464253561,35169.4056956778
-173.12450645843,35179.4829863183
-172.551548663299,35190.4418707238
-171.978590868169,35202.2836766048
-171.405633073038,35215.0098382063
-170.832675277907,35228.6218963792
-170.259717482776,35243.121498656
-169.686759687645,35258.5103993303
-169.113801892515,35274.7904595414
-168.540844097384,35291.9636473615
-167.967886302253,35310.0320378877
-167.394928507122,35328.9978133371
-166.821970711991,35348.8632631443
-166.249012916861,35369.6307840632
-165.67605512173,35391.3028802705
-165.103097326599,35413.8821634719
-164.530139531468,35437.3713530101
-163.957181736337,35461.7732759752
-163.384223941206,35487.0908673159
-162.811266146076,35513.3271699519
-162.238308350945,35540.4853348873
-161.665350555814,35568.5686213241
-161.092392760683,35597.5803967757
-160.519434965552,35627.5241371798
-159.946477170422,35658.403427011
-159.373519375291,35690.2219593909
-158.80056158016,35722.9835361977
-158.227603785029,35756.6920681725
-157.654645989898,35791.3515750238
-157.081688194768,35826.9661855271
-156.508730399637,35863.5401376228
-155.935772604506,35901.0777785076
-155.362814809375,35939.5835647225
-154.789857014244,35979.0620622344
-154.216899219114,36019.5179465114
-153.643941423983,36060.956002592
-153.070983628852,36103.3811251459
-152.498025833721,36146.7983185272
-151.92506803859,36191.2126968185
-151.352110243459,36236.6294838652
-150.779152448329,36283.0540132998
-150.206194653198,36330.4917285547
-149.633236858067,36378.9481828627
-149.060279062936,36428.4290392457
-148.487321267805,36478.9400704883
-147.914363472675,36530.4871590982
-147.341405677544,36583.0762972501
-146.768447882413,36636.7135867139
-146.195490087282,36691.4052387645
-145.622532292151,36747.1575740746
-145.049574497021,36803.9770225866
-144.47661670189,36861.8701233649
-143.903658906759,36920.8435244267
-143.330701111628,36980.9039825491
-142.757743316497,37042.0583630533
-142.184785521366,37104.3136395633
-141.611827726236,37167.676893738
-141.038869931105,37232.1553149766
-140.465912135974,37297.7562000938
-139.892954340843,37364.486952966
-139.319996545712,37432.3550841451
-138.747038750582,37501.3682104396
-138.174080955451,37571.5340544614
-137.60112316032,37642.8604441358
-137.028165365189,37715.3553121752
-136.455207570058,37789.0266955125
-135.882249774928,37863.8827346948
-135.309291979797,37939.9316732337
-134.736334184666,38017.1818569126
-134.163376389535,38095.6417330474
-133.590418594404,38175.3198496993
-133.017460799273,38256.224854839
-132.444503004143,38338.3654954591
-131.871545209012,38421.7506166321
-131.298587413881,38506.3891605152
-130.72562961875,38592.2901652954
-130.152671823619,38679.4627640769
-129.579714028489,38767.9161837052
-129.006756233358,38857.6597435291
-128.433798438227,38948.7028540949
-127.860840643096,39041.055015773
-127.287882847965,39134.7258173139
-126.714925052835,39229.72493433
-126.141967257704,39326.0621277022
-125.569009462573,39423.7472419087
-124.996051667442,39522.7902032716
-124.423093872311,39623.2010181207
-123.850136077181,39724.9897708714
-123.27717828205,39828.1666220122
-122.704220486919,39932.7418060016
-122.131262691788,40038.7256290689
-121.558304896657,40146.1284669179
-120.985347101526,40254.9607623291
-120.412389306396,40365.2330226587
-119.839431511265,40476.9558172291
-119.266473716134,40590.1397746102
-118.693515921003,40704.7955797858
-118.120558125872,40820.9339712036
-117.547600330742,40938.5657377043
-116.974642535611,41057.7017153264
-116.40168474048,41178.3527839836
-115.828726945349,41300.5298640105
-115.255769150218,41424.2439125737
-114.682811355088,41549.5059199434
-114.109853559957,41676.3269056228
-113.536895764826,41804.7179143308
-112.963937969695,41934.6900118337
-112.390980174564,42066.2542806231
-111.818022379433,42199.421815434
-111.245064584303,42334.2037186011
-110.672106789172,42470.6110952469
-110.099148994041,42608.6550482992
-109.52619119891,42748.3466733326
-108.953233403779,42889.6970532295
-108.380275608648,43032.7172526571
-107.807317813518,43177.4183123545
-107.234360018387,43323.8112432271
-106.661402223256,43471.9070202417
-106.088444428125,43621.7165761193
-105.515486632994,43773.2507948205
-104.942528837864,43926.5205048175
-104.369571042733,44081.5364721504
-103.796613247602,44238.3093932605
-103.223655452471,44396.8498875978
-102.65069765734,44557.1684899959
-102.077739862209,44719.275642812
-101.504782067079,44883.1816878243
-100.931824271948,45048.8968578844
-100.358866476817,45216.4312683179
-99.7859086816861,45385.7949080702
-99.2129508865553,45556.9976305911
-98.6399930914245,45730.0491444542
-98.0670352962937,45904.959003706
-97.4940775011628,46081.7365979408
-96.921119706032,46260.3911420957
-96.3481619109012,46440.931665961
-95.7752041157704,46623.367003403
-95.2022463206395,46807.7057812929
-94.6292885255087,46993.956408139
-94.0563307303779,47182.1270624159
-93.4833729352471,47372.2256805901
-92.9104151401162,47564.2599448334
-92.3374573449854,47758.2372704242
-91.7644995498546,47954.164792831
-91.1915417547238,48152.0493544753
-90.6185839595929,48351.8974911695
-90.0456261644621,48553.7154182289
-89.4726683693313,48757.509016252
-88.8997105742005,48963.2838165697
-88.3267527790697,49171.0449863577
-87.7537949839388,49380.7973134129
-87.180837188808,49592.54519059
-86.6078793936772,49806.292599898
-86.0349215985464,50022.0430962553
-85.4619638034155,50239.799790902
-84.8890060082847,50459.5653344699
-84.3160482131539,50681.3418997096
-83.7430904180231,50905.1311638762
-83.1701326228922,51130.9342907734
-82.5971748277614,51358.7519124583
-82.0242170326306,51588.5841106083
-81.4512592374998,51820.4303975542
-80.8783014423689,52054.2896969799
-80.3053436472381,52290.1603242957
-79.7323858521073,52528.039966687
-79.1594280569765,52767.925662845
-78.5864702618456,53009.8137823847
-78.0135124667148,53253.7000049569
-77.440554671584,53499.5792990611
-76.8675968764532,53747.4459005685
-76.2946390813224,53997.2932909625
-75.7216812861915,54249.1141753078
-75.1487234910607,54502.9004599587
-74.5757656959299,54758.6432300177
-74.0028079007991,55016.3327265574
-73.4298501056682,55275.95832362
-72.8568923105374,55537.5085050077
-72.2839345154066,55800.9708408817
-71.7109767202758,56066.3319641852
-71.1380189251449,56333.5775469091
-70.5650611300141,56602.6922762197
-69.9921033348833,56873.6598304692
-69.4191455397525,57146.4628551103
-68.8461877446216,57421.0829385377
-68.2732299494908,57697.5005878818
-67.70027215436,57975.6952047799
-67.1273143592292,58255.6450611507
-66.5543565640984,58537.3272750034
-65.9813987689675,58820.7177863084
-65.4084409738367,59105.7913329624
-64.8354831787059,59392.521426881
-64.2625253835751,59680.8803302514
-63.6895675884442,59970.8390319834
-63.1166097933134,60262.3672243937
-62.5436519981826,60555.4332801639
-61.9706942030518,60850.0042296115
-61.3977364079209,61146.0457383159
-60.8247786127901,61443.522085144
-60.2518208176593,61742.3961407181
-59.6788630225285,62042.629346374
-59.1059052273976,62344.1816936572
-58.5329474322668,62647.0117044058
-57.959989637136,62951.0764114709
-57.3870318420052,63256.3313401274
-56.8140740468743,63562.7304902281
-56.2411162517435,63870.2263191564
-55.6681584566127,64178.7697256331
-55.0952006614819,64488.3100344358
-54.522242866351,64798.7949820881
-53.9492850712202,65110.1707035794
-53.3763272760894,65422.3817201755
-52.8033694809586,65735.3709283811
-52.2304116858278,66049.0795901177
-51.6574538906969,66363.447324179
-51.0844960955661,66678.4120990281
-50.5115383004353,66993.9102270013
-49.9385805053045,67309.8763599815
-49.3656227101736,67626.2434866088
-48.7926649150428,67942.9429310907
-48.219707119912,68259.9043536783
-47.6467493247812,68577.055752874
-47.0737915296503,68894.323469433
-46.5008337345195,69211.632192225
-45.9278759393887,69528.904966018
-45.3549181442579,69846.0632012463
-44.781960349127,70163.0266858251
-44.2090025539962,70479.7135990706
-43.6360447588654,70796.0405277845
-43.0630869637346,71111.9224845593
-42.4901291686038,71427.2729283595
-41.9171713734729,71742.0037874309
-41.3442135783421,72056.0254845886
-40.7712557832113,72369.2469649296
-40.1982979880805,72681.5757260172
-39.6253401929496,72992.9178505756
-39.0523823978188,73303.1780417353
-38.479424602688,73612.2596608607
-37.9064668075572,73920.0647679938
-37.3335090124263,74226.4941649367
-36.7605512172955,74531.4474409972
-36.1875934221647,74834.8230214131
-35.6146356270339,75136.5182184686
-35.041677831903,75436.4292853084
-34.4687200367722,75734.4514724528
-33.8957622416414,76030.4790870091
-33.3228044465106,76324.405554569
-32.7498466513797,76616.1234837771
-32.1768888562489,76905.5247335484
-31.6039310611181,77192.5004829056
-31.0309732659873,77476.9413034024
-30.4580154708565,77758.7372340897
-29.8850576757256,78037.7778589776
-29.3120998805948,78313.9523869352
-28.739142085464,78587.1497339686
-28.1661842903332,78857.258607805
-27.5932264952023,79124.1675947053
-27.0202687000715,79387.7652484228
-26.4473109049407,79647.940181215
-25.8743531098099,79904.5811568091
-25.301395314679,80157.5771852151
-24.7284375195482,80406.8176192749
-24.1554797244174,80652.1922528231
-23.5825219292866,80893.5914203357
-23.0095641341557,81130.9060979301
-22.4366063390249,81364.028005576
-21.8636485438941,81592.8497103705
-21.2906907487633,81817.2647307218
-20.7177329536324,82037.1676412849
-20.1447751585016,82252.4541784813
-19.5718173633708,82463.0213464339
-18.99885956824,82668.7675231414
-18.4259017731092,82869.5925667115
-17.8529439779783,83065.3979214704
-17.2799861828475,83256.0867237588
-16.7070283877167,83441.5639072249
-16.1340705925859,83621.7363074199
-15.561112797455,83796.5127655002
-14.9881550023242,83965.8042308391
-14.4151972071934,84129.5238623471
-13.8422394120626,84287.5871283046
-13.2692816169317,84439.9119045041
-12.6963238218009,84586.4185705059
-12.1233660266701,84727.0301038079
-11.5504082315393,84861.6721717339
-10.9774504364084,84990.2732208474
-10.4044926412776,85112.7645637007
-9.8315348461468,85229.0804627315
-9.25857705101598,85339.158211126
-8.68561925588515,85442.9382104702
-8.11266146075433,85540.3640450174
-7.5397036656235,85631.3825524062
-6.96674587049268,85715.9438906699
-6.39378807536186,85794.0016013856
-5.82083028023104,85865.5126688174
-5.24787248510021,85930.4375749198
-4.67491468996939,1334478.91929452
-4.10195689483857,1335280.46059397
-3.52899909970774,1335978.28310179
-2.95604130457692,1336571.99783905
-2.3830835094461,1337061.27334849
-1.81012571431528,1337445.83612634
-1.23716791918445,1337725.47097935
-0.664210124053629,1337900.02130611
-0.0912523289228057,1337969.38930194
0.481705466208017,1337933.53608706
1.05466326133884,1337792.4817575
1.62762105646966,1337546.30535876
2.20057885160049,1337195.14478227
2.77353664673131,1336739.1965849
3.34649444186213,1336178.71573186
3.91945223699296,1335514.01526377
4.49241003212378,1334745.46588852
5.0653678272546,1333873.49549903
5.63832562238543,1332898.5886179
6.21128341751625,1331821.28577044
6.78424121264707,1330642.18278734
7.35719900777789,1329361.93003887
7.93015680290872,1327981.23160209
8.50311459803954,1326500.84436328
9.07607239317037,1324921.57705747
9.64903018830119,1323244.2892473
10.221987983432,1321469.89024368
10.7949457785628,1319599.33797041
11.3679035736937,1317633.63777557
11.9408613688245,1315573.84119217
12.5138191639553,1313421.04465083
13.0867769590861,1311176.38814727
13.659734754217,1308841.05386756
14.2326925493478,1306416.26477398
14.8056503444786,1303903.28315452
15.3786081396094,1301303.40913906
15.9515659347403,1298617.97918526
16.5245237298711,1295848.36453726
17.0974815250019,1292995.96966027
17.6704393201327,1290062.2306542
18.2433971152635,1287048.61364929
18.8163549103944,1283956.61318699
19.3893127055252,1280787.750589
19.962270500656,1277543.57231755
20.5352282957868,1274225.64832993
21.1081860909177,1270835.57043007
21.6811438860485,1267374.95062027
22.2541016811793,1263845.41945564
22.8270594763101,1260248.62440416
23.400017271441,1256586.22821506
23.9729750665718,1252859.90729789
24.5459328617026,1249071.3501151
25.1188906568334,1245222.25559022
25.6918484519643,1241314.33153423
26.2648062470951,1237349.29309218
26.8377640422259,1233328.86121222
27.4107218373567,1229254.76113904
27.9836796324875,1225128.72093372
28.5566374276184,1220952.47002159
29.1295952227492,1216727.73777004
29.70255301788,1212456.25209758
30.2755108130108,1208139.73811585
30.8484686081417,1203779.91680577
31.4214264032725,1199378.50372916
31.9943841984033,1194937.20777684
32.5673419935341,1190457.72995437
33.140299788665,1185941.76220618
33.7132575837958,1181390.98627902
34.2862153789266,1176807.07262521
34.8591731740574,1172191.67934654
35.4321309691883,1167546.45117907
36.0050887643191,1162873.01851926
36.5780465594499,1158172.99649179
37.1510043545807,1153447.98405913
37.7239621497116,1148699.56317307
38.2969199448424,1143929.29796804
38.8698777399732,1139138.73399638
39.442835535104,1134329.39750514
40.0157933302348,1129502.79475435
40.5887511253657,1124660.41137638
41.1617089204965,1119803.71177599
41.7346667156273,1114934.13857064
42.3076245107581,1110053.11207054
42.880582305889,1105162.02979787
43.4535401010198,1100262.26604457
44.0264978961506,1095355.17146795
44.5994556912814,1090442.07272355
45.1724134864123,1085524.2721342
45.7453712815431,1080603.04739489
46.3183290766739,1075679.65131221
46.8912868718047,1070755.3115777
47.4642446669356,1065831.23057425
48.0372024620664,1060908.58521442
48.6101602571972,1055988.52681002
49.183118052328,1051072.18097165
49.7560758474589,1046160.64753761
50.3290336425897,1041255.00053079
50.9019914377205,1036356.2881429
51.4749492328513,1031465.53274476
52.0479070279821,1026583.73092182
52.620864823113,1021711.8535338
53.1938226182438,1016850.8457975
53.7667804133746,1012001.62739172
54.3397382085054,1007165.09258337
54.9126960036363,1002342.11037366
55.4856537987671,997533.524663496
56.0586115938979,992740.154437091
56.6315693890287,987962.793962743
57.2045271841596,983202.213009942
57.7774849792904,978459.157081822
58.3504427744212,973734.347662053
58.923400569552,969028.482475272
59.4963583646828,964342.235760186
60.0693161598137,959676.258554479
60.6422739549445,955031.17899069
61.2152317500753,950407.602602249
61.7881895452061,945806.11263886
62.361147340337,941227.270390485
62.9341051354678,936671.615519151
63.5070629305986,932139.666397873
64.0800207257294,927631.920455981
64.6529785208603,923148.854530165
65.2259363159911,918690.9252206
65.7988941111219,914258.569251495
66.3718519062527,909852.203835472
66.9448097013836,905472.22704118
67.5177674965144,901119.018163592
68.0907252916452,896792.93809643
68.663683086776,892494.329706224
69.2366408819069,888223.518207482
69.8095986770377,883980.811538526
70.3825564721685,879766.500737541
70.9555142672993,875580.860318387
71.5284720624301,871424.148645804
72.101429857561,867296.608309593
72.6743876526918,863198.466497433
73.2473454478226,859129.935365976
73.8203032429534,855091.212409894
74.3932610380843,851082.480828588
74.9662188332151,847103.909890257
75.5391766283459,843155.65529306
76.1121344234767,839237.859523129
76.6850922186076,835350.652209191
77.2580500137384,831494.150473585
77.8310078088692,827668.459279464
78.403965604,823873.671774011
78.9769233991309,820109.869627484
79.5498811942617,816377.123367935
80.1228389893925,812675.492711468
80.6957967845233,809005.026887892
81.2687545796541,805365.764961667
81.841712374785,801757.736148019
82.4146701699158,798180.960124152
82.9876279650466,794635.447335454
83.5605857601774,791121.199296639
84.1335435553083,787638.208887756
84.7065013504391,784186.460645011
85.2794591455699,780765.931046376
85.8524169407007,777376.58879192
86.4253747358316,774018.395078872
86.9983325309624,770691.303871362
87.5712903260932,767395.262164866
88.144248121224,764130.210245317
88.7172059163549,760896.081942912
89.2901637114857,757692.804880611
89.8631215066165,754520.30071734
90.4360793017473,751378.485385935
91.0090370968782,748267.269325837
91.581994892009,745186.557710575
92.1549526871398,742136.250670073
92.7279104822706,739116.243507821
93.3008682774014,736126.426912951
93.8738260725323,733166.687167268
94.4467838676631,730236.906347283
95.0197416627939,727336.962521304
