x,y
-180,0
-179.427042204869,-1.13598592991888
-178.854084409738,-3.40819192736837
-178.281126614608,-5.68096615040474
-177.708168819477,-7.95461597166868
-177.135211024346,-10.229448954023
-176.562253229215,-12.5057729068235
-175.989295434084,-14.7838959428612
-175.416337638954,-17.0641265341762
-174.843379843823,-19.3467735695249
-174.270422048692,-21.6321464106356
-173.697464253561,-23.9205549494842
-173.12450645843,-26.2123096648548
-172.551548663299,-28.5077216802882
-171.978590868169,-30.8071028206896
-171.405633073038,-33.1107656704967
-170.832675277907,-35.4190236311418
-170.259717482776,-37.7321909792238
-169.686759687645,-40.050582924368
-169.113801892515,-42.3745156682865
-168.540844097384,-44.7043064628968
-167.967886302253,-47.0402736698104
-167.394928507122,-49.3827368192305
-166.821970711991,-51.7320166699632
-166.249012916861,-54.0884352688341
-165.67605512173,-56.452316011638
-165.103097326599,-58.8239837031195
-164.530139531468,-61.203764618403
-163.957181736337,-63.591986564177
-163.384223941206,-65.9889789407367
-162.811266146076,-68.395072803894
-162.238308350945,-70.8106009281379
-161.665350555814,-73.2358978693051
-161.092392760683,-75.6713000285282
-160.519434965552,-78.1171457164135
-159.946477170422,-80.5737752175422
-159.373519375291,-83.0415308557891
-158.80056158016,-85.5207570600887
-158.227603785029,-88.0118004310746
-157.654645989898,-90.5150098074836
-157.081688194768,-93.0307363343461
-156.508730399637,-95.5593335310616
-155.935772604506,-98.1011573602165
-155.362814809375,-100.656566297466
-154.789857014244,-103.225921401762
-154.216899219114,-105.80958638645
-153.643941423983,-108.407927691264
-153.070983628852,-111.02131455506
-152.498025833721,-113.650119089041
-151.92506803859,-116.294716351511
-151.352110243459,-118.95548442288
-150.779152448329,-121.63280448178
-150.206194653198,-124.327060882368
-149.633236858067,-127.03864123202
-149.060279062936,-129.767936470743
-148.487321267805,-132.515340950975
-147.914363472675,-135.281252518732
-147.341405677544,-138.066072595734
-146.768447882413,-140.870206262902
-146.195490087282,-143.694062344615
-145.622532292151,-146.538053494276
-145.049574497021,-149.402596281334
-144.47661670189,-152.288111279251
-143.903658906759,-155.195023154709
-143.330701111628,-158.123760758724
-142.757743316497,-161.074757217942
-142.184785521366,-164.048450028843
-141.611827726236,-167.045281151997
-141.038869931105,-170.065697108521
-140.465912135974,-173.110149078023
-139.892954340843,-176.179092997669
-139.319996545712,-179.27298966328
-138.747038750582,-182.392304831848
-138.174080955451,-185.537509325571
-137.60112316032,-188.709079137891
-137.028165365189,-191.907495541037
-136.455207570058,-195.133245195534
-135.882249774928,-198.386820261238
-135.309291979797,-201.668718510589
-134.736334184666,-204.979443443599
-134.163376389535,-208.319504404843
-133.590418594404,-211.689416702205
-133.017460799273,-215.089701728099
-132.444503004143,-218.52088708254
-131.871545209012,-221.983506698174
-131.298587413881,-225.478100967816
-130.72562961875,-229.005216873987
-130.152671823619,-232.565408120711
-129.579714028489,-236.159235267717
-129.006756233358,-239.78726586697
-128.433798438227,-243.450074601487
-127.860840643096,-247.148243426593
-127.287882847965,-250.882361713931
-126.714925052835,-254.653026397386
-126.141967257704,-258.460842122262
-125.569009462573,-262.306421396671
-124.996051667442,-266.19038474524
-124.423093872311,-270.113360866468
-123.850136077181,-274.075986791397
-123.27717828205,-278.078908046524
-122.704220486919,-282.122778818014
-122.131262691788,-286.208262120096
-121.558304896657,-290.336029964929
-120.985347101526,-294.506763536564
-120.412389306396,-298.721153366751
-119.839431511265,-302.979899514267
-119.266473716134,-307.283711747013
-118.693515921003,-311.633309726732
