x,y
-180,0
-179.427042204869,-0.757323953279252
-178.854084409738,-2.27212795157891
-178.281126614608,-3.78731076693649
-177.708168819477,-5.30307731444579
-177.135211024346,-6.81963263601531
-176.562253229215,-8.33718193788232
-175.989295434084,-9.85593062857416
-175.416337638954,-11.3760843561175
-174.843379843823,-12.8978490463499
-174.270422048692,-14.4214309404238
-173.697464253561,-15.9470366329895
-173.12450645843,-17.4748731099032
-172.551548663299,-19.0051477868588
-171.978590868169,-20.5380685471264
-171.405633073038,-22.0738437803312
-170.832675277907,-23.6126824207612
-170.259717482776,-25.1547939861492
-169.686759687645,-26.7003886162454
-169.113801892515,-28.249677112191
-168.540844097384,-29.8028709752645
-167.967886302253,-31.3601824465403
-167.394928507122,-32.9218245461536
-166.821970711991,-34.4880111133088
-166.249012916861,-36.0589568458894
-165.67605512173,-37.634877341092
-165.103097326599,-39.215989135413
-164.530139531468,-40.802509745602
-163.957181736337,-42.3946577094514
-163.384223941206,-43.9926526271578
-162.811266146076,-45.596715202596
-162.238308350945,-47.2070672854253
-161.665350555814,-48.8239319128701
-161.092392760683,-50.4475333523521
-160.519434965552,-52.0780971442756
-159.946477170422,-53.7158501450281
-159.373519375291,-55.361020570526
-158.80056158016,-57.0138380400591
-158.227603785029,-58.6745336207164
-157.654645989898,-60.3433398716557
-157.081688194768,-62.0204908895641
-156.508730399637,-63.7062223540411
-155.935772604506,-65.4007715734777
-155.362814809375,-67.1043775316438
-154.789857014244,-68.8172809345083
-154.216899219114,-70.5397242576332
-153.643941423983,-72.2719517941759
-153.070983628852,-74.0142097033734
-152.498025833721,-75.7667460593609
-151.92506803859,-77.5298109010075
-151.352110243459,-79.3036562819201
-150.779152448329,-81.0885363211868
-150.206194653198,-82.8847072549123
-149.633236858067,-84.6924274880131
-149.060279062936,-86.5119576471621
-148.487321267805,-88.3435606339836
-147.914363472675,-90.1875016791543
-147.341405677544,-92.0440483971562
-146.768447882413,-93.9134708419348
-146.195490087282,-95.7960415630768
-145.622532292151,-97.6920356628503
-145.049574497021,-99.6017308542228
-144.47661670189,-101.525407519501
-143.903658906759,-103.463348769806
-143.330701111628,-105.415840505816
-142.757743316497,-107.383171478628
-142.184785521366,-109.365633352562
-141.611827726236,-111.363520767998
-141.038869931105,-113.37713140568
-140.465912135974,-115.406766052015
-139.892954340843,-117.452728665113
-139.319996545712,-119.515326442187
-138.747038750582,-121.594869887898
-138.174080955451,-123.691672883714
-137.60112316032,-125.806052758594
-137.028165365189,-127.938330360691
-136.455207570058,-130.088830130356
-135.882249774928,-132.257880174159
-135.309291979797,-134.445812340393
-134.736334184666,-136.652962295733
-134.163376389535,-138.879669603229
-133.590418594404,-141.12627780147
-133.017460799273,-143.393134485399
-132.444503004143,-145.68059138836
-131.871545209012,-147.989004465449
-131.298587413881,-150.318733978544
-130.72562961875,-152.670144582658
-130.152671823619,-155.043605413807
-129.579714028489,-157.439490178478
-129.006756233358,-159.858177244647
-128.433798438227,-162.300049734325
-127.860840643096,-164.765495617729
-127.287882847965,-167.254907809287
-126.714925052835,-169.768684264924
-126.141967257704,-172.307228081508
-125.569009462573,-174.870947597781
-124.996051667442,-177.460256496826
-124.423093872311,-180.075573910979
-123.850136077181,-182.717324527598
-123.27717828205,-185.385938697683
-122.704220486919,-188.081852545343
-122.131262691788,-190.805508080064
-121.558304896657,-193.557353309953
-120.985347101526,-196.337842357709
-120.412389306396,-199.147435577834
-119.839431511265,-201.986599676178
-119.266473716134,-204.855807831342
-118.693515921003,-207.755539817821
-118.120558125872,-210.686282131326
-117.547600330742,-213.648528116013
-116.974642535611,-216.64277809353
-116.40168474048,-219.669539494105
-115.828726945349,-222.729326989563
-115.255769150218,-225.822662628325
-114.682811355088,-228.950075972085
